****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x1666
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.043	Loglikelihood: -76616.9	(delta): 159931
2 (EM) 	Elapsed: 0.035	Loglikelihood: -70011.7	(delta): 6605.14
3 (EM) 	Elapsed: 0.031	Loglikelihood: -68280.6	(delta): 1731.18
4 (EM) 	Elapsed: 0.027	Loglikelihood: -66766.3	(delta): 1514.27
5 (EM) 	Elapsed: 0.027	Loglikelihood: -65125.7	(delta): 1640.58
Initial loglikelihood: -65125.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.051	Loglikelihood: -61258	(delta): 3867.71
2 (QN/EM) 	Elapsed: 0.051	Loglikelihood: -56776.9	(delta): 4481.11
3 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -39497.1	(delta): 17279.8
4 (QN/EM) 	Elapsed: 0.055	Loglikelihood: -33937.7	(delta): 5559.47
5 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -28527	(delta): 5410.69
6 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -25254.6	(delta): 3272.34
7 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -23083.9	(delta): 2170.74
8 (QN/EM) 	Elapsed: 0.054	Loglikelihood: -21847.6	(delta): 1236.3
9 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -20019.5	(delta): 1828.08
10 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -19169.5	(delta): 850.038
11 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -17455.8	(delta): 1713.69
12 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -16751.5	(delta): 704.324
13 (QN/EM) 	Elapsed: 0.054	Loglikelihood: -16306.5	(delta): 444.919
14 (QN/EM) 	Elapsed: 0.054	Loglikelihood: -16232.6	(delta): 73.9233
15 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -16153.1	(delta): 79.5253
16 (QN/EM) 	Elapsed: 0.055	Loglikelihood: -16116.4	(delta): 36.6482
17 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -16073.5	(delta): 42.9342
18 (QN/EM) 	Elapsed: 0.052	Loglikelihood: -16000.3	(delta): 73.2479
19 (QN/EM) 	Elapsed: 0.054	Loglikelihood: -15986	(delta): 14.2462
20 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15698.8	(delta): 287.184
21 (QN/EM) 	Elapsed: 0.054	Loglikelihood: -15633.6	(delta): 65.2623
22 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15588.3	(delta): 45.2502
23 (QN/EM) 	Elapsed: 0.052	Loglikelihood: -15567.9	(delta): 20.3893
24 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15539.7	(delta): 28.2195
25 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15519	(delta): 20.7027
26 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15492.7	(delta): 26.3313
27 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15446.1	(delta): 46.5216
28 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15413.3	(delta): 32.82
29 (QN/EM) 	Elapsed: 0.053	Loglikelihood: -15395.2	(delta): 18.1513
