****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x1666
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.068	Loglikelihood: -76401	(delta): 156487
2 (EM) 	Elapsed: 0.057	Loglikelihood: -69741.6	(delta): 6659.33
3 (EM) 	Elapsed: 0.05	Loglikelihood: -67957	(delta): 1784.62
4 (EM) 	Elapsed: 0.05	Loglikelihood: -66387.9	(delta): 1569.13
5 (EM) 	Elapsed: 0.05	Loglikelihood: -64668.2	(delta): 1719.75
Initial loglikelihood: -64668.2
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.097	Loglikelihood: -60419.2	(delta): 4248.97
2 (QN/EM) 	Elapsed: 0.097	Loglikelihood: -55040.7	(delta): 5378.52
3 (QN/EM) 	Elapsed: 0.101	Loglikelihood: -36233.5	(delta): 18807.2
4 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -32200.4	(delta): 4033.06
5 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -24492.5	(delta): 7707.91
6 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -18358.5	(delta): 6134.02
7 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -16826.3	(delta): 1532.19
8 (QN/EM) 	Elapsed: 0.101	Loglikelihood: -15955.6	(delta): 870.691
9 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -15158.4	(delta): 797.223
10 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -14235.7	(delta): 922.644
11 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -14000.3	(delta): 235.432
12 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -13899.6	(delta): 100.74
13 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -13795.2	(delta): 104.389
14 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -13672.7	(delta): 122.435
15 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -12889.7	(delta): 783.064
16 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -12648.1	(delta): 241.595
17 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -12227.7	(delta): 420.326
18 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -12165.1	(delta): 62.5982
19 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -12018.2	(delta): 146.988
20 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11994.1	(delta): 24.0197
21 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11977.6	(delta): 16.5126
22 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11962.3	(delta): 15.3188
23 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -11784.6	(delta): 177.751
24 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11728.8	(delta): 55.7351
25 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11716.9	(delta): 11.9104
26 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -11695.6	(delta): 21.2748
27 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -11685.5	(delta): 10.1076
28 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11675.6	(delta): 9.8928
29 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -11656.5	(delta): 19.1248
30 (QN/EM) 	Elapsed: 0.101	Loglikelihood: -11551.1	(delta): 105.388
31 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11509.5	(delta): 41.6464
32 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11500.5	(delta): 8.95966
33 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11480.2	(delta): 20.3081
34 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11465.3	(delta): 14.9086
35 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11459.4	(delta): 5.91549
36 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11428.3	(delta): 31.0856
37 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11401.9	(delta): 26.3896
38 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11390.6	(delta): 11.281
39 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11341.7	(delta): 48.8918
40 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -11321.5	(delta): 20.2039
41 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11292.9	(delta): 28.6471
42 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11283.1	(delta): 9.7708
43 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11258.7	(delta): 24.4412
44 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11234.6	(delta): 24.0676
45 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11222.1	(delta): 12.4572
46 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11202.4	(delta): 19.6969
47 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11114.7	(delta): 87.7246
48 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11071.8	(delta): 42.9149
49 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11035.8	(delta): 35.986
50 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -11022.1	(delta): 13.7252
51 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10963.3	(delta): 58.8071
52 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10923.7	(delta): 39.5921
53 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10917.1	(delta): 6.63967
54 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10911.8	(delta): 5.24602
55 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10906	(delta): 5.84068
56 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10899.6	(delta): 6.39515
57 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10887.6	(delta): 11.9611
58 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -10883.3	(delta): 4.3267
59 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10866.3	(delta): 17.0375
60 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10862.1	(delta): 4.10794
61 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10859.8	(delta): 2.36336
62 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10857.3	(delta): 2.5259
63 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10854.7	(delta): 2.54412
64 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10847.3	(delta): 7.37517
65 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10831.6	(delta): 15.7344
66 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10819.4	(delta): 12.2082
67 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10814.9	(delta): 4.51139
68 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10812.1	(delta): 2.82567
69 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10810	(delta): 2.04158
70 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10806.7	(delta): 3.35156
71 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10796.4	(delta): 10.2391
72 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10775.3	(delta): 21.1537
73 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10751.6	(delta): 23.6513
74 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10750.6	(delta): 0.978847
75 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10749.9	(delta): 0.710694
76 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10748.3	(delta): 1.67698
77 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10747	(delta): 1.24905
78 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10745.9	(delta): 1.07791
79 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10745.6	(delta): 0.326187
80 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10743.3	(delta): 2.33634
81 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10741.6	(delta): 1.68246
82 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10741.3	(delta): 0.280509
83 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10740.6	(delta): 0.699708
84 (QN/EM) 	Elapsed: 0.101	Loglikelihood: -10739.4	(delta): 1.20545
85 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10739	(delta): 0.366401
86 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10738.9	(delta): 0.121269
87 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10738.8	(delta): 0.119858
88 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10735.2	(delta): 3.6039
89 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10732	(delta): 3.15556
90 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10729.2	(delta): 2.86173
91 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10728.9	(delta): 0.303489
92 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10728.8	(delta): 0.0952568
93 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10728.1	(delta): 0.694782
94 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10724.7	(delta): 3.35701
95 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10724.4	(delta): 0.31948
96 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10724.3	(delta): 0.107
97 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10724.2	(delta): 0.0800852
