****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x2315
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.025	Loglikelihood: -81343.5	(delta): 256639
2 (EM) 	Elapsed: 0.023	Loglikelihood: -74147.5	(delta): 7195.92
3 (EM) 	Elapsed: 0.021	Loglikelihood: -72317.2	(delta): 1830.38
4 (EM) 	Elapsed: 0.02	Loglikelihood: -70924	(delta): 1393.19
5 (EM) 	Elapsed: 0.019	Loglikelihood: -69530.4	(delta): 1393.54
Initial loglikelihood: -69530.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -66374	(delta): 3156.47
2 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -62667.5	(delta): 3706.51
3 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -47383.7	(delta): 15283.8
4 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -44111.5	(delta): 3272.21
5 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -41549	(delta): 2562.47
6 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -39020.2	(delta): 2528.74
7 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -32728.7	(delta): 6291.58
8 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -30355.8	(delta): 2372.87
9 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -29457.4	(delta): 898.445
10 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -28829.1	(delta): 628.238
11 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -28443.4	(delta): 385.747
12 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -27780.7	(delta): 662.673
13 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26795.7	(delta): 985.005
14 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26662.2	(delta): 133.447
15 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26334.4	(delta): 327.838
16 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26297.7	(delta): 36.6743
17 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26267	(delta): 30.7392
18 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26247.1	(delta): 19.9353
19 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26230	(delta): 17.0957
20 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26202.4	(delta): 27.5237
21 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26171	(delta): 31.4217
22 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26124.2	(delta): 46.8147
23 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26099.4	(delta): 24.8098
24 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26089.5	(delta): 9.86894
25 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26077.1	(delta): 12.4459
26 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26067.3	(delta): 9.74278
27 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26063.6	(delta): 3.70981
28 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26062.3	(delta): 1.33291
29 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26060.5	(delta): 1.77318
30 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26053.1	(delta): 7.37655
31 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26050.5	(delta): 2.62376
32 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26045.2	(delta): 5.30538
33 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26043.2	(delta): 1.97264
34 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26041.2	(delta): 2.01472
35 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26037.5	(delta): 3.75765
36 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26036.3	(delta): 1.16238
37 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26034	(delta): 2.26329
38 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26027.8	(delta): 6.26841
39 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26026.9	(delta): 0.830342
