branch	branch_descendants	Outgroup	mulcatus	solitarius	dispar	gentianus	sacerdotis	malaitae	meeki	nigromaxilla	coll_east	coll_west
b2	mulcatus,solitarius	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	dispar,gentianus,sacerdotis,malaitae,meeki,nigromaxilla,coll_east,coll_west	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	mulcatus	nan	nan	nan	0	0	0	0	0	0	0	0
b5	solitarius	nan	nan	nan	0	0	0	0	0	0	0	0
b6	dispar	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b7	gentianus,sacerdotis,malaitae,meeki,nigromaxilla,coll_east,coll_west	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b8	gentianus	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan
b9	sacerdotis,malaitae,meeki,nigromaxilla,coll_east,coll_west	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan
b10	sacerdotis	nan	0	0	0	0	nan	nan	nan	nan	nan	nan
b11	malaitae,meeki,nigromaxilla,coll_east,coll_west	nan	0	0	0	0	nan	nan	nan	nan	nan	nan
b12	malaitae,meeki	nan	0	0	0	0	0	nan	nan	nan	nan	nan
b13	nigromaxilla,coll_east,coll_west	nan	0	0	0	0	0	nan	nan	nan	nan	nan
b14	malaitae	nan	0	0	0	0	0	nan	nan	0	0	0
b15	meeki	nan	0	0	0	0	0	nan	nan	0	0	0
b16	nigromaxilla	nan	0	0	0	0	0	0	0	nan	nan	nan
b17	coll_east,coll_west	nan	0	0	0	0	0	0	0	nan	nan	nan
b18	coll_east	nan	0	0	0	0	0	0	0	0	nan	nan
b19	coll_west	nan	0	0.00684291	0.00601509	0	0	0	0	0	nan	nan
