Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
solitarius	20978	9201360	127292	18448	0.20049	4.73544	45.09919	0.00221	0.99957	0.00015	0	0.00025	0.0001	0	0.99975	0.0001	0	0.00057	0.00022	0	0.99943	0.00022	0	0.00064	0.00029	0.00001	0.00092	0.00086	0.00221
sacerdotis	8039	4404374	82037	5458	0.12392	1.90431	2.25052	0.00071	0.99968	0.00011	0.00001	0.00037	0.0002	0.00001	0.99963	0.0002	0.00001	0.00042	0.00016	0.00001	0.99958	0.00016	0.00001	0.00052	0.00027	0.00001	0.00028	0.00033	0.00071
mulcatus	4974	3432736	76195	2777	0.0809	2.18424	2.71679	0.00089	0.99978	0.00008	0	0.00024	0.00013	0.00001	0.99976	0.00013	0.00001	0.00029	0.00011	0.00001	0.99971	0.00011	0.00001	0.00035	0.00018	0.00001	0.00021	0.00024	0.00089
meeki	19901	7852895	119176	18050	0.22985	3.4004	21.12348	0.00164	0.99951	0.00017	0	0.00032	0.00014	0	0.99968	0.00014	0	0.00064	0.00024	0.00001	0.99936	0.00024	0.00001	0.00076	0.00037	0.00001	0.00099	0.00096	0.00164
malaitae	8648	4029076	104470	2610	0.06478	1.37914	0.23539	0.00024	0.99974	0.00011	0.00001	0.00042	0.00036	0.00001	0.99958	0.00036	0.00001	0.00029	0.00013	0.00001	0.99971	0.00013	0.00001	0.00047	0.00037	0.00001	0.00006	0.0001	0.00024
nigromaxilla	9786	5803089	109710	3824	0.0659	2.47363	4.74894	0.0009	0.99982	0.00007	0	0.00019	0.00011	0	0.99981	0.00011	0	0.00023	0.00009	0	0.99977	0.00009	0	0.00029	0.00016	0.00001	0.00017	0.00021	0.0009
gentianus	8545	4118713	105417	3286	0.07978	2.47989	1.61924	0.00063	0.99977	0.00008	0	0.00027	0.00016	0.00001	0.99973	0.00016	0.00001	0.00029	0.00012	0.00001	0.99971	0.00012	0.00001	0.00037	0.0002	0.00001	0.00019	0.00024	0.00063
coll.west	8179	7193876	121527	10401	0.14458	3.77403	18.12991	0.00159	0.99965	0.00013	0	0.0003	0.00015	0	0.9997	0.00015	0	0.00046	0.00018	0	0.99954	0.00018	0	0.00055	0.00028	0.00001	0.00051	0.00051	0.00159
coll.east	16633	10226734	130076	19949	0.19507	6.03276	58.24181	0.00239	0.99968	0.0001	0	0.00022	0.00007	0	0.99978	0.00007	0	0.00044	0.00015	0	0.99956	0.00015	0	0.00049	0.0002	0	0.00076	0.00071	0.00239
dispar	6130	3109386	94887	1533	0.0493	1	0	0	0.99975	0.00012	0.00001	0.00049	0.00049	0.00001	0.99951	0.00049	0.00001	0.00025	0.00012	0.00001	0.99975	0.00012	0.00001	0.00049	0.00049	0.00001	0	0	0
