# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
4846	13	1.00000	0.00000	0.00000	0.98859	0.00558	0.00064	0.02283	0.02231	0.00128	0.97717	0.02231	0.00128	0.01141	0.00558	0.00064	0.98859	0.00558	0.00064	0.02283	0.02231	0.00128	0.00000	0.00000	0.00000
5307	98	1.00000	0.00000	0.00000	0.98671	0.00647	0.00069	0.02658	0.02588	0.00138	0.97342	0.02588	0.00138	0.01329	0.00647	0.00069	0.98671	0.00647	0.00069	0.02658	0.02588	0.00138	0.00000	0.00000	0.00000
5311	119	1.00000	0.00000	0.00000	0.98360	0.00793	0.00076	0.03280	0.03173	0.00152	0.96720	0.03173	0.00152	0.01640	0.00793	0.00076	0.98360	0.00793	0.00076	0.03280	0.03173	0.00152	0.00000	0.00000	0.00000
5317	80	1.00000	0.00000	0.00000	0.98764	0.00603	0.00067	0.02472	0.02411	0.00134	0.97528	0.02411	0.00134	0.01236	0.00603	0.00067	0.98764	0.00603	0.00067	0.02472	0.02411	0.00134	0.00000	0.00000	0.00000
5447-8	34	1.00000	0.00000	0.00000	0.98684	0.00641	0.00068	0.02633	0.02563	0.00136	0.97367	0.02563	0.00136	0.01316	0.00641	0.00068	0.98684	0.00641	0.00068	0.02633	0.02563	0.00136	0.00000	0.00000	0.00000
5565	19	1.00000	0.00000	0.00000	0.98595	0.00683	0.00070	0.02810	0.02731	0.00140	0.97190	0.02731	0.00140	0.01405	0.00683	0.00070	0.98595	0.00683	0.00070	0.02810	0.02731	0.00140	0.00000	0.00000	0.00000
6836	21	1.00000	0.00000	0.00000	0.98886	0.00545	0.00063	0.02228	0.02179	0.00126	0.97772	0.02179	0.00126	0.01114	0.00545	0.00063	0.98886	0.00545	0.00063	0.02228	0.02179	0.00126	0.00000	0.00000	0.00000
6948	14	1.00000	0.00000	0.00000	0.98841	0.00566	0.00064	0.02318	0.02265	0.00128	0.97682	0.02265	0.00128	0.01159	0.00566	0.00064	0.98841	0.00566	0.00064	0.02318	0.02265	0.00128	0.00000	0.00000	0.00000
7161	33	1.00000	0.00000	0.00000	0.98658	0.00653	0.00069	0.02684	0.02612	0.00137	0.97316	0.02612	0.00137	0.01342	0.00653	0.00069	0.98658	0.00653	0.00069	0.02684	0.02612	0.00137	0.00000	0.00000	0.00000
7256	30	1.00000	0.00000	0.00000	0.98720	0.00624	0.00067	0.02560	0.02494	0.00135	0.97440	0.02494	0.00135	0.01280	0.00624	0.00067	0.98720	0.00624	0.00067	0.02560	0.02494	0.00135	0.00000	0.00000	0.00000
7604	23	1.00000	0.00000	0.00000	0.98610	0.00676	0.00070	0.02781	0.02704	0.00140	0.97219	0.02704	0.00140	0.01390	0.00676	0.00070	0.98610	0.00676	0.00070	0.02781	0.02704	0.00140	0.00000	0.00000	0.00000
7629	38	1.00000	0.00000	0.00000	0.98623	0.00670	0.00070	0.02755	0.02679	0.00139	0.97245	0.02679	0.00139	0.01377	0.00670	0.00070	0.98623	0.00670	0.00070	0.02755	0.02679	0.00139	0.00000	0.00000	0.00000
9547	25	1.00000	0.00000	0.00000	0.98760	0.00605	0.00066	0.02481	0.02420	0.00132	0.97519	0.02420	0.00132	0.01240	0.00605	0.00066	0.98760	0.00605	0.00066	0.02481	0.02420	0.00132	0.00000	0.00000	0.00000
9572	30	1.00000	0.00000	0.00000	0.98484	0.00735	0.00073	0.03032	0.02940	0.00146	0.96968	0.02940	0.00146	0.01516	0.00735	0.00073	0.98484	0.00735	0.00073	0.03032	0.02940	0.00146	0.00000	0.00000	0.00000
9628	23	1.00000	0.00000	0.00000	0.98801	0.00585	0.00065	0.02399	0.02341	0.00130	0.97601	0.02341	0.00130	0.01199	0.00585	0.00065	0.98801	0.00585	0.00065	0.02399	0.02341	0.00130	0.00000	0.00000	0.00000
12865	19	1.00000	0.00000	0.00000	0.98582	0.00689	0.00071	0.02837	0.02757	0.00141	0.97163	0.02757	0.00141	0.01418	0.00689	0.00071	0.98582	0.00689	0.00071	0.02837	0.02757	0.00141	0.00000	0.00000	0.00000
15907	21	1.00000	0.00000	0.00000	0.99489	0.00253	0.00043	0.01022	0.01011	0.00086	0.98978	0.01011	0.00086	0.00511	0.00253	0.00043	0.99489	0.00253	0.00043	0.01022	0.01011	0.00086	0.00000	0.00000	0.00000
15908	17	1.00000	0.00000	0.00000	0.99526	0.00235	0.00042	0.00949	0.00940	0.00083	0.99051	0.00940	0.00083	0.00474	0.00235	0.00042	0.99526	0.00235	0.00042	0.00949	0.00940	0.00083	0.00000	0.00000	0.00000
16175	20	1.00000	0.00000	0.00000	0.98700	0.00633	0.00068	0.02600	0.02533	0.00136	0.97400	0.02533	0.00136	0.01300	0.00633	0.00068	0.98700	0.00633	0.00068	0.02600	0.02533	0.00136	0.00000	0.00000	0.00000
