Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-16935.313462264225	-16039.887059572273	-895.4264026919514	0.1	0.00800000037997961	0.01
2500	-7309.477195814296	-7294.642957543979	-14.834238270316348	0.21806673261633855	2.9611137304918573	0.0014318743195281898
5000	-7309.286968102718	-7294.070947844703	-15.21602025801397	0.35472918292273614	4.117989853285325	0.002052648844863079
7500	-7311.679740536173	-7295.58767387859	-16.09206665758286	0.35547432269404994	4.680389067597959	0.0011075421100308043
10000	-7306.726404130981	-7290.745079151572	-15.981324979408772	0.19697716085689768	4.7483796732348695	0.0012439137115904698
12500	-7306.145339660149	-7290.440379181308	-15.704960478841198	0.23120211967468068	4.403039055499239	0.0014300696141200083
15000	-7307.629707005667	-7289.12807053917	-18.50163646649744	0.18452748020629128	5.125067861665342	9.677549409604201E-4
17500	-7306.321479900913	-7292.076390704283	-14.245089196630017	0.2761622365914337	3.892179226533785	9.938733835689803E-4
20000	-7307.739995074478	-7292.542592254426	-15.197402820052183	0.3865564633235738	4.141918797629409	0.0012786445528068422
22500	-7309.413860969076	-7295.440356638242	-13.973504330834551	0.3429933195956125	3.2996088020265155	0.001872663223070724
25000	-7306.804124029017	-7291.962242436931	-14.841881592085635	0.20743138810879885	3.462884260067401	0.0017711478925109241
27500	-7306.955180685254	-7290.719052727003	-16.236127958251366	0.2524064600829635	4.757103883697797	7.688134385088317E-4
30000	-7307.628797982852	-7291.662587024034	-15.966210958817983	0.1824181811272185	4.679927307934166	0.0011576619722586028
32500	-7310.874823256258	-7295.081001825648	-15.793821430610432	0.37560118214917126	4.0760021494396455	0.00158539753733883
35000	-7306.508732493511	-7292.388703116063	-14.1200293774478	0.32405523181911394	3.3287136625386995	0.001604313176776326
37500	-7308.6119767279	-7294.762126193467	-13.84985053443237	0.3343561076177929	3.6026326674486087	0.0011980918088066326
40000	-7309.481518907193	-7294.4924101775405	-14.989108729652795	0.24799123342212187	4.094608675798058	8.771464529985201E-4
42500	-7307.636055182931	-7293.412175311463	-14.223879871467842	0.3024111729326751	3.641337863295471	0.0017473724801424706
45000	-7310.102916916716	-7295.6106478018655	-14.492269114850654	0.2444247899103324	4.1941378480503	0.001239521888245813
47500	-7305.608874317651	-7290.913824992084	-14.695049325566158	0.3660103288546851	3.10526067613554	0.0013970138906038898
50000	-7311.232431416018	-7293.831364623008	-17.40106679300942	0.34968876427056617	4.678693043430049	9.783275627363072E-4
52500	-7304.687980030886	-7290.352758701224	-14.335221329662033	0.41085646194698056	3.0936163152996605	0.00175550282965122
55000	-7307.444366110974	-7290.862951351558	-16.581414759416315	0.4254765636582026	4.040386666685213	0.0014477613787545797
57500	-7308.051235515936	-7292.715686397475	-15.335549118460916	0.17888259408567592	3.23495627495765	0.00191035205720341
60000	-7309.811489865706	-7291.1722966063435	-18.639193259362212	0.22183369660042254	5.2402558160465595	8.899106344657202E-4
62500	-7306.9670836940195	-7292.161602189171	-14.805481504848231	0.3790371200202636	3.747539774833574	0.0019194084286740308
65000	-7307.914328014237	-7293.185691961159	-14.728636053078095	0.41064533484021404	3.0174200267204956	0.0023118062919591014
67500	-7309.911326816486	-7292.210441646273	-17.70088517021319	0.3897415539830089	4.906742147198374	8.182579730975719E-4
