Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-16980.55032397705	-16087.700375012615	-892.8499489644379	0.13317155256630656	0.00800000037997961	0.01
2500	-7459.761316178865	-7444.543530709519	-15.217785469346055	0.29856708387911185	4.189588480953944	0.0016114859687021068
5000	-7453.455058208873	-7437.481534651057	-15.973523557816108	0.23307046699463727	4.361754818043746	0.0015742856783174937
7500	-7461.106851636359	-7440.172094463953	-20.934757172406403	0.18429019594383753	5.718634013648827	8.106093323562321E-4
10000	-7458.140608601523	-7442.469720823416	-15.670887778107458	0.3403028392684245	4.528585487659981	0.0015750071127264282
12500	-7449.519812909572	-7434.692592572384	-14.827220337187562	0.3895890413450876	2.844653571185206	0.0020287551106265797
15000	-7464.858214341949	-7438.912270021462	-25.945944320486696	0.1838913073732563	7.168437073721034	8.993157467309046E-4
17500	-7457.6088829999335	-7438.369076901569	-19.239806098363815	0.3522745206968899	5.446839908962953	0.0011115172819091347
20000	-7454.008913184264	-7438.109121267052	-15.899791917212745	0.16334996364458754	4.506404917793462	0.001170093333866936
22500	-7459.498054982907	-7439.61970794592	-19.878347036987165	0.25749429952450836	5.894751935855462	0.0011887579920665202
25000	-7454.461939309527	-7439.016107869199	-15.445831440327872	0.5391059781115306	2.7999273075975566	0.0017418567324546331
27500	-7452.836337523547	-7438.887201263399	-13.949136260147435	0.3489935098170453	3.1696878526055174	0.0016036146042592134
30000	-7453.144118959876	-7437.423698071288	-15.720420888588361	0.37807587607835935	4.436895758164331	0.0012742143071745446
32500	-7453.678820453362	-7438.413590906609	-15.265229546753059	0.31739222341453976	4.276214647411374	0.0011367139518096536
35000	-7455.575386586756	-7439.028637756399	-16.546748830357117	0.4167137614625185	4.193573634235459	0.0017125927155284867
37500	-7455.942620572026	-7441.074369196894	-14.868251375131726	0.3699951001469804	3.990860384662705	0.0016621817282702418
40000	-7455.861038991782	-7441.876575634965	-13.984463356817546	0.32111566924421214	3.668541576261559	0.0010151049156303703
42500	-7454.822128931366	-7439.73559412727	-15.086534804095935	0.30869383758053753	4.129942843642352	0.0018222025846197842
45000	-7451.399482626926	-7436.399260474461	-15.000222152465808	0.3291755497309629	4.021208414974958	0.001633596822361726
47500	-7452.663182365938	-7438.150346551393	-14.512835814544497	0.3701696322855382	3.3618117932381604	0.0018516912135659854
50000	-7451.8243628466635	-7437.527392957546	-14.296969889117374	0.2813829975684136	3.4897421911520077	0.0015808264068914585
52500	-7468.271598041179	-7448.49495703632	-19.776641004859314	0.07276502253458364	3.6815984012137974	0.0010730294610481852
55000	-7451.536841395362	-7436.616700499687	-14.920140895675548	0.4826106292342328	3.006781955513506	0.0017368261287930523
57500	-7452.403231291927	-7436.950226564862	-15.453004727065174	0.3366889449692601	4.040472366241195	0.0013892499247705847
60000	-7456.595325073812	-7441.726901993182	-14.868423080630178	0.39377469098263446	3.209610010335199	0.0022522103798219093
62500	-7458.332483800555	-7442.892631355112	-15.439852445442913	0.17782844343767512	3.7997081829437223	0.0016459992204661544
65000	-7456.564782468441	-7441.178425466372	-15.386357002068987	0.36114015223767987	4.222982360084196	0.0019603021766803346
67500	-7458.399917357081	-7442.27317550671	-16.12674185037079	0.5265918788253672	3.6231949394537817	0.0016847889050493003
70000	-7458.6571169966455	-7441.8298574164555	-16.827259580190418	0.2344315055462925	5.166814322092511	0.0013634797952146172
72500	-7459.178675352285	-7441.608613291136	-17.57006206114861	0.6568503099283045	3.4095318563840444	0.001248433825442138
75000	-7452.135734424082	-7437.529224123594	-14.606510300488784	0.23517206217582337	3.9442683757605623	0.0013132122808231944
77500	-7463.499322195421	-7442.243961009423	-21.255361185997817	0.3837077898901091	5.7473899356401565	0.0012547499454231468
80000	-7452.0243077652185	-7436.8656921335605	-15.15861563165829	0.2492263109471145	4.564467321071658	0.0012863482749097934
82500	-7450.780138619003	-7436.285992983511	-14.494145635491867	0.3436912566096111	3.6344717400890643	0.0013400745548160528
